year_month,HENRY_DIRECT,MARRIAGE_WEDDING,IMMIGRATION_VISA,HOUSING_HOME,FINANCIAL,ANGER_THREAT,SAFETY_DISTRESS,SEXUAL_BOUNDARY,NATHAN_CONCERN,SUPPORT_WITNESS,FL_MINIMISATION,FL_BLAME_SHIFT,FL_ISOLATION,FL_FUTURE_FAKING,FL_LOVE_BOMBING,FL_GASLIGHTING,FL_DARVO,FL_MONITORING,_TOTAL_MESSAGES,_NEEDS_REVIEW
2024-07,2,1,0,11,24,11,5,15,0,2,36,0,1,0,3,0,0,2,447,0
2024-08,1,4,0,9,10,12,2,9,1,2,11,0,0,1,2,0,0,1,328,1
2024-09,1,4,0,6,12,4,0,2,0,0,7,0,0,0,0,0,0,0,154,0
2024-10,2,7,0,9,20,10,0,8,1,2,19,0,0,1,0,0,0,0,298,0
2024-11,0,7,1,1,7,3,0,1,0,0,11,0,0,1,1,0,0,0,125,1
2024-12,9,23,3,32,51,32,8,35,2,1,68,0,0,11,9,0,0,0,1350,6
2025-01,12,53,5,71,112,68,21,116,3,9,246,1,4,29,23,1,0,3,3520,12
2025-02,12,55,5,53,105,45,15,96,2,4,185,1,7,13,18,0,0,0,2599,10
2025-03,14,66,14,71,120,84,24,136,7,7,247,1,6,22,23,0,0,0,4005,21
2025-04,2,10,10,8,27,16,4,15,3,2,33,0,1,5,4,0,0,0,521,11
2025-05,0,12,0,7,17,27,5,21,0,3,35,0,1,5,3,0,0,0,634,5
2025-06,7,33,6,42,57,27,16,41,5,6,69,0,2,17,12,0,0,0,1509,4
2025-07,1,8,1,10,10,5,0,4,0,0,27,0,1,4,3,0,0,0,410,2
2025-08,1,5,0,18,25,5,7,17,1,2,39,0,0,0,0,0,0,3,538,4
2025-09,2,6,0,16,11,9,3,10,0,0,12,0,0,2,1,0,0,0,191,0
2025-10,1,2,0,4,2,2,1,1,0,1,0,0,0,0,1,0,0,0,33,0
2026-03,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0
2026-04,11,37,4,83,98,73,28,37,6,17,132,0,4,6,8,1,0,6,2009,26
2026-05,0,4,0,4,3,8,2,8,2,1,8,0,2,2,0,0,0,0,129,3
