word,count
love,249
good,243
yeah,234
gonna,228
want,220
think,210
back,191
call,186
fuck,172
unf,171
need,170
hehe,163
fun,150
time,143
message,140
more,139
much,132
yes,131
day,116
nice,115
edited,112
off,111
okay,110
make,110
sure,109
fucking,107
other,102
only,100
little,99
slut,98
getting,95
very,95
going,93
super,93
dick,93
cum,92
take,90
see,85
might,85
people,84
say,84
though,83
still,80
let,79
way,78
fair,78
come,78
voice,78
did,77
thinking,76
cause,76
didn,76
down,75
here,74
wait,74
guys,74
big,72
over,71
while,71
hard,71
ass,70
sorry,69
photo,67
exactly,67
work,66
https,66
even,65
lol,64
attached,63
aha,63
video,62
sex,62
feel,62
things,61
thing,61
again,60
two,59
before,59
jpg,58
should,58
sleep,58
girl,57
mmmh,57
really,55
first,55
morning,55
maybe,54
actually,54
said,54
both,54
com,54
where,52
night,52
something,51
bit,51
best,51
after,50
look,50
whore,50
every,49
