date,time,message_text,pattern_matched
2024-12-07,15:21:47,I hope you know once you’re under my control you won’t ever cum from your pussy again,under my control
2024-12-07,17:10:39,The rules will be 24/7 eventually,24/7
2024-12-21,18:53:17,I expect you’ll be chained to it most of the time but if we ever want to leave my room a portable one will be useful/necessary,chained to
2025-01-14,05:06:43,But from then you’re going to be under my total control,total control
2025-01-16,23:42:39,Just fucking my slut exactly how I like,my slut
2025-01-17,01:37:59,gonna rent you out to people:,rent you
2025-01-21,01:09:59,I’m gonna keep you as my little trophy slut \<This message was edited\>,"keep you, my little, trophy slut"
2025-01-21,01:13:17,‘I make sure my slut has a constant stream of black guys to get gangbanged by’ \<This message was edited\>,my slut
2025-01-22,01:50:08,And I always indulge my slut,my slut
2025-01-22,10:15:11,‘I have a condition where if I don’t have a slut desperately sucking cum out my dick 24/7 then I might die’,24/7
2025-01-22,23:29:35,Keep you with me wherever I go,Keep you
2025-01-23,13:32:32,for reference that’s about the size of my little fingernail \<This message was edited\>,my little
2025-01-25,00:46:31,unf I love my slut,my slut
2025-01-25,16:24:13,"Arriving, walking up to the black gang on the weight set and asking if I can join their gang as their 24/7 free use bitch",24/7
2025-01-25,16:46:08,I was thinking we could do like a thing where 75% of the time you’re my little sub whore \<This message was edited\>,my little
2025-01-26,23:55:44,My little house slave,My little
2025-01-26,23:58:36,Just a whole lifetime of mutual love and support and 24/7 dom-sub control,"24/7, dom-sub"
2025-02-20,19:16:51,"‘I need some new speakers, my whore girlfriend is gonna blow you for them'",my whore
2025-02-22,07:10:18,But my slut ain’t 1,my slut
2025-02-27,17:29:35,‘that’s how much my slut is worth',my slut
2025-02-27,22:31:02,Constantly pinching myself to remind myself you’re real and you’re mine :),you’re mine
2025-02-27,23:39:29,"Either way, still my little slut :)",my little
2025-02-27,23:40:14,Horny 24/7,24/7
2025-03-19,07:19:00,how’s my little slut?,my little
2025-03-21,07:00:08,how’s my little anal whore doing? ð,my little
2025-03-24,13:13:09,"‘dear god, if you make sure my slut gets fucked today I promise to only use her butthole until the 14th of October'",my slut
2025-03-26,19:34:49,My dick is hard like 24/7 \<This message was edited\>,24/7
2025-03-28,13:15:34,thank the lads for keeping you warmed up for me,"keeping you, warmed up"
2025-05-30,04:21:09,on call 24/7,24/7
2025-06-13,23:29:37,My body’s relentless hunt for dopamine has me horny 24/7,24/7
2025-06-16,16:46:20,New phace who dis?,dis
2025-07-07,13:58:30,"I’ll keep you abreast of my movements, latest I’ll be free is 8, maybe you join for dins at 7",keep you
2025-08-06,23:56:30,and I fucking love you being my slut,my slut
